id,model_id,is_active,user_id
JLS-M5W-49GT-KXI7,M5W-LOGIC,False,
JLS-M5W-IHD6-APBV,M5W-LOGIC,False,
JLS-M5W-N12T-BUG1,M5W-LOGIC,False,
JLS-M5W-Y2YF-AXZ7,M5W-LOGIC,False,
JLS-M5W-SXBA-7AMG,M5W-LOGIC,False,
JLS-M5W-B58L-UGBI,M5W-LOGIC,False,
JLS-M5W-7KTV-XDKH,M5W-LOGIC,False,
JLS-M5W-8RKF-G2UQ,M5W-LOGIC,False,
JLS-M5W-YMSA-Y2OC,M5W-LOGIC,False,
JLS-M5W-HOGN-ATW5,M5W-LOGIC,False,
JLS-VNM-I5BX-6NJ0,VNM-VENOM,False,
JLS-VNM-DZA4-1YKQ,VNM-VENOM,False,
JLS-VNM-M3UQ-T232,VNM-VENOM,False,
JLS-VNM-WUGF-KMHO,VNM-VENOM,False,
JLS-VNM-6OQ4-A23N,VNM-VENOM,False,
