JANUS-LOGIC-SILICON: 逻辑固件分类索引 (v1.0),,,,,,,,,
1. [KERNEL-CORE] 认知底层/元逻辑 (The OS Kernel),,,,,,,,,
分类ID,定义：处理最底层的存在、本质与逻辑完备性。,,,,,,,,
[K],分类名：逻辑真相 (Logic Truth),,,,,,,,
,包含模型：,,,,,,,,
,01. [M5W] 莫塔5问（真相审计）,,,,,,,,
,02. [DAO] 大道至简（逻辑蒸馏）,,,,,,,,
,03. [CVE] 代偿递弱（演化风险）,,,,,,,,
,04. [MEC] MECE 原则（结构完备）,,,,,,,,
,05. [TLST] 道法术器（垂直对齐）,,,,,,,,
2. [PROCESS-CONTROL] 执行与调度 (CPU Scheduling),,,,,,,,,
分类ID,定义：处理任务的拆解、优先级、节奏与触发。,,,,,,,,
[P],分类名：执行引擎 (Execution Engine) ,,,,,,,,
,包含模型：,,,,,,,,
,01. [VNM] 诺依曼拆解（任务递归）,,,,,,,,
,02. [FBM] 福格行为模型（执行触发）,,,,,,,,
,03. [YDL] 耶克斯-多德森（频率调优）,,,,,,,,
,04. [820] 二八法则（算力分配）,,,,,,,,
,05. [MVP] 最小可行性（低熵启动）,,,,,,,,
3. [MEMORY-BUS] 记忆与复盘 (Memory & Cache),,,,,,,,,
分类ID,定义：处理信息的存储、提取、张力与迭代。,,,,,,,,
[M],分类名：认知缓存 (Cognitive Cache) ,,,,,,,,
,包含模型：,,,,,,,,
,01. [ZE] 蔡格尼克效应（张力管理）,,,,,,,,
,02. [KISS] 复盘模型（状态更新）,,,,,,,,
,03. [FEY] 费曼学习法（知识解压）,,,,,,,,
,04. [PER] 峰终定律（记忆加权）,,,,,,,,
4. [I/O-INTERFACE] 表达与传播 (Input/Output),,,,,,,,,
分类ID,定义：处理系统与外部（他人/市场）的信息交换。,,,,,,,,
[I],分类名：共鸣协议 (Resonance Protocol) ,,,,,,,,
,包含模型：,,,,,,,,
,01. [PREP] 表达模型（高效传输）,,,,,,,,
,02. [SCQA] 叙事模型（情感耦合）,,,,,,,,
,03. [FFC] 赞美法（能量渲染）,,,,,,,,
,04. [AISAS] 传播模型（递归扩散）,,,,,,,,
,05. [5T] 五遍/悟式（同步协议）,,,,,,,,
5. [SECURITY-GATE] 风险与边界 (Firewall & Sandbox),,,,,,,,,
分类ID,定义：处理系统的安全性、防御性与决策偏差。,,,,,,,,
[S],分类名：逻辑护城河 (Logic Moat) ,,,,,,,,
,包含模型：,,,,,,,,
,01. [COC] 能力圈（边界判定）,,,,,,,,
,02. [BPT] 断裂点（主动熔断）,,,,,,,,
,03. [RED] 冗余备份（容错机制）,,,,,,,,
,04. [MOS] 安全边际（负载缓冲）,,,,,,,,
,05. [CJF] 合取谬误（概率审计）,,,,,,,,
6. [STRATEGY-LAYER] 外部博弈 (Strategic Layer),,,,,,,,,
分类ID,定义：处理系统在复杂环境下的定位与竞争。,,,,,,,,
[G],分类名：战略矩阵 (Strategy Matrix)。,,,,,,,,
,包含模型：,,,,,,,,
,01. [P5F] 波特五力（博弈压力）,,,,,,,,
,02. [SWOT] 态势分析（策略映射）,,,,,,,,
,03. [BCG] 波士顿矩阵（资产平衡）,,,,,,,,
,04. [PST] PEST 分析（宏观扫描）,,,,,,,,
